text,label_sentiment
בהצלחה בבחירה,0,negative
הלב נקרע לגזרים !,0,negative
" רובי היקר המון המון בהצלחה מקווה שמחר אתה תהייה הנשיא הבא , לא אשכח איך דאגת ועשית ככל יכולתך בזמן שביתת הרעב שלי מול הבית של ביבי השקן והנוכל ",0,negative
אם הבת שלך היתה הולכת אם ערבי ומתאסלמת גם היית מאחל להם הצלחה,1,positive
זה מה שמלמדים באונרה what does the UN teach Palestinian children at UNRWA schools ? https://www.facebook.com/photo.php?v=10153431580837316&set=vb.73528002315&type=2&theater,2,
אין כמוך רובי ריבלין . נציג הציבור הכמעט יחידי שאני גאה שמייצג אותי .,0,negative
תודה לך כבוד הנשיא,0,negative
" כבוד הנשיא צריך לעקור את הגזענות מהשורש במיוחד ממגרשי הספורט , הרי במדינת ישראל יש אנשים טובים מכל העדות לא צריך לכלול אוכלוסיה שלמה בגלל כמה פרחחים , ",0,negative
מרגש .... המשיכו להיות משפחה חמה ומאושרת ....,0,negative
רובי שאלה : לאחר בחירתך תמשיך כאן או שזה קשור לתהליך הבחירה ?,0,negative
עם כול הכבוד ואין פו כבוד למה הם היו צרכים להדגיש את ההזמנה של יום הנשואין כדי להתגרות ביוצרות נראה אים ערביה היתה מתחתנת עם יהודי והיו מראים את ההזמנה שלה כן מי יודע אים בכלל היא היתה נשארת בחיים התבוללות הא הדבר החמור שה' לא אוהב ושתזהר הכלה מורל את המכה שהא תקבל מהקב''ה ממש חלול ה' ועוד ברבים,1,positive
יהי זכרו ברוך,0,negative
" הלב נקרע , השם יקום דמם . ",0,negative
זה בכלל לא הסתה זה עניין כבר של התבוללות ואוי חנו אם זה ימשך כך ולא נעצור זאת זאת כבר לא תהיה מדינה של יהודים ה ׳ ישמור,1,positive
ברכה והצלחה אמן אמן ואמן !!!!!!!!!!!!!!!,0,negative
יהי זכרו ברוך את כל המלאכים אלוהים רוצה לידו,0,negative
כבר צחקתי . יש הומור לנשיא .,0,negative
" גם כאן , כל התורה כולה על רגל אחת היא , כמו שאמר הלל ...  "" מה ששנוא עליך , אל תעשה לחברך "" "" . ואכן , כמו שלא מקובל עלינו שיקללו ויקראו קריאות גזעניות נגד שחקן יהודי בחו""""ל , אוי ואבוי לנו אם אצלנו מתנהגים כך כלפי שחקן ערבי ( או מנקה או מאבטח או טבח או פרופסורית או כל דבר אחר ממוצא רוסי או אטיופי או אסייתי או משהו שנתפס כ "" "" לא משלנו "" "" . ) הכלל הזה של אל תעשה לחברך מה שלא היית מוכן שיעשו לך - הוא כלל שבאמת מסדר כל כך הרבה דברים . החל מנימוס בסיסי , וכלה בענייני פלילים ואתיקה . """,1,positive
" כל . הממורמרים יכולים רק למצוא דבר מה להרגעה וכל האיחולים שלכם תשאירו לעצמכם מי יודע מה יעשו ועם מי יתחתנו הילדים שלכם כלום לא בטוח , ",0,negative
" כבוד הנשיא , אם כאלה פוסטים .. יש לך עוד הרבה שנים של שקט מתקשורת השמאל פה . הם אוהבים שאתה כותב נגד יהודים ",1,positive
יש נשיא בירושלים !!,0,negative
איש מקסים אתה חבל שאין עוד כמוך וגם שמעון פרס ויולי אדל שטיין אין יותר חבל שהיה לך בהצלחה חמה מיכול הלב כבוד הוא למדינת ישראל שזה אתה,0,negative
נחמה את אישה אדירה שיהיו לכם בהצלחה,0,negative
רק שתהייה לנו בריא,0,negative
יהי רצון שהנכד לא יתחתן עם ערביה ונכדתך מאיה לא תתחתן עם ערבי . אלא אם כן אתה חושב אחרת .,0,negative
" אַשְׁרֵי אָדָם מְפַחֵד תָּמִיד , וּמַקְשֶׁה לִבּוֹ יִפּוֹל בְּרָעָה  "" חָכָם יָרֵא וְסָר מֵרָע , וּכְסִיל מִתְעַבֵּר וּבוֹטֵחַ "" "" רק דעת וחוכמה צריכה להינתן בחינם לכל באי העולם חייייייייייייננננננננננננםםםםםםםםםםם """,0,negative
תזהר ! שימון מאחוריך .....,0,negative
חבל ששמעון פרס לא נשאר הנשיא אתה לא ראוי לתפקיד הזה נשיא ישראל שמייצג אותנו המדינה היהודית לא צריך להיות בעד נישואי תערובת לאויב תתבייש,1,positive
ספורט הוא תחום שבאמת מאפשר לכל אדם לקחת בו חלק ללא הבדל דת גזע או מין ! אלה שהופכים את מגרשי הספורט לבמה פוליטית או לאמצעי ניגוח גזעני אינם יודעים ומבינים מהו ספורט ומהם הערכים המוספים שלו !,0,negative
לא ברור לי מה ניסגר איתנו אנשים אתם שומעים את עצמכם דמוקרטיה חחח מה הקשר הבחורה יהודיה איך זה מתקשר לחופש הביטוי או לדמוקרטיה הרי איך יהודיה תתחתן עם ערבי גוי איפה נשמע דבר כזה ואני לא אדם דתי או איך שקוראים לזה קיצוני בדעותי הימניות ... פשוט מינימיום של יהדות לא נשארה פה הרי זה ההבדל בנינו לבניהם זה מזעזע אותי כל הסיפור הזה אני מרחמת עליה שלשם היא הגיעה,1,positive
" ** במיוחד בשבילך כבוד הנשיא - ** מאמר :  "" מהו באמת ההבדל בין הגזענות להתבוללות "" "" ? ההבדל בניהם זה כמו ההבדל בין השמיים לארץ . ואם אני אהיה נגד ההתבוללות וההתערבבות של עם ישראל , זה אומר שאני גזען ולא מוסרי ???? , הלוא יש לי חברים גויים ואני מכבד אותם , ועוזר להם , ובעד שוויון מלא בין כולם , ודו קיום והכול טוב ומצוין בין כולנו , ולכן אני מאוד מתפלא על אותם אנשים חכמים ונבונים אשר אומרים אם אתה לא תסכים לכך שאחותך תתחתן עם הגוי שהתאהבה בו אז אתה גזען , איזה שטויות והבלי הבלים , ישנם גבולות מסוימים שעליי לשמור אותם בדיוק כמו : בביה""""ס , בצבא ובבית שאסור לי לעשות אותם ואפילו שיתפוצץ העולם זה נוגד את הכללים והחוקים שעל פיהם קיבלו אותי לצבא או ללימודים , ואם תפר אותם אין לך מה לעשות באותו מקום , מה כל כך קשה להבין , קצת חורה ועצוב לי כול ההשוואות הללו , זה פשוט בושה וחרפה שאנו עוסקים בשטויות וההבל הללו , שמאכילים אותנו , ועם ישראל צריך לסבול אותה לצערנו , בתקופה שהשקר הפך לאמת והאמת הפכה לשקר , והלוואי שאלוקים יפכח את עיננו לזאת . כמו שכתוב בתהלים : "" "" עניים להם ולא יראו אוזניים להם ולא ישמעו .. "" "" יש מצב של התבוללות וערבוב והעלמות חס וחלילה של ישראל ולא יהיה את הייחודיות של עם ישראל שאותו העם היהודי מייצג לכול העולם כולו ובעצם הכול ייעלם החגים היהודיים , השבתות , השמחות היהודיות , כול האירועים היהודיים והכול בעצם ימחק , ואסור שזה יקרה לא רק לעם ישראל אלא גם לאומות העולם , אשר אנו כאומה וכעם הענקנו לכול העולם את ההכרה באלוקים ושיש בורא לבריאה , וכן את כול המנהגים השונים הנלווים לכך , כך שזה ממש לא יעלה על הדעת שהמקור לכול זה יימחק וייעלם מן המפה ( וכמו שכולנו יודעים שבחו""""ל יש התבוללות מחרידה , אז לפחות בארץ הקודש מחובתנו לשמור ולהימנע מכך ) כי בסופו של דבר , בגמר תיקון העולם כמו שכתוב : "" "" ונלוו גויים רבים וירימו את ישראל אל על ויאמרו כי שמענו כי יש אלוקים בקרבכם "" "" ... ( ישעיה ) "" "" שהכול תלוי בישראל ובמה שקורה בעולם כולו "" "" ( הזוהר ) , שהכול בעצם קורה בגלל מעשיהם של ישראל ולכן מחובתנו המוסרית והעולמית , לא רק האישית לשמור על הגבולות והייחודיות שלנו כעם בשביל כול האנושות אשר להם נעניק זאת , ולכן חשוב מאוד שנינשא "" "" כדת משה וישראל "" "" אשר הם אלו שהנחילו לנו ולאנושות את האמונה באל אחד , יחיד ומיוחד !! """,1,positive
משמח את ליבי לקרוא כאלה דברים ובמיוחד מנשיא המדינה . ללמוד לחיות ביחד זה עדיף .. לא יעזור לאף אחד שני הצדדים נשארים שם ועלינו ללמוד לקבל אחד את השני ולחיות כן ביחד אחרת שני הצדדים מפסידים .. המון תודות לך כבוד הנשיא ♡,0,negative
ד,2,
שבת שלום כבוד הנשיא לך ולבני משפחתך,0,negative
תודה לכול מי שמאכל לנו אנו הילדים מאחלים גם לכם הגדולי הצלחה רבה בכל תחום באל עבודה בכל פנסיה מאיתנו הילדים,0,negative
תודה.גם לך.מה קרה שפתאום נזכרת בי ? הלוואי שתהיה ה-הנשיא,0,negative
אמת אם כל עם ישראל יחשוב כמוך .... יהייה שלום,0,negative
רובי אנחנו רוצים נשיא לא כדורגלן !!!!!,1,positive
מזל טוב !!!!,0,negative
למה רק בספורט ?,1,positive
ערבים רצחו לנו את הילדים !,1,positive
אני מאחל לך את ההצלחה הגדולה בהתפקיד החדש,0,negative
ספורט הוא תחום שבאמת מאפשר לכל אדם לקחת בו חלק ללא הבדל דת גזע או מין ! אלה שהופכים את מגרשי הספורט לבמה פוליטית או לאמצעי ניגוח גזעני אינם יודעים ומבינים מהו ספורט ומהם הערכים המוספים שלו !,0,negative
" אני מציע לכל תושבי  "" עוטף עזה "" "" לעזוב את האדמה ואת הבתים שלכם ולעבור לאיזור גוש דן .. בשביל מה אתם נשארים שם ? טוב לכם להיות בשר תותחים וקיר מגן של תושבי המרכז ?? לא חבל לכם על הילדים שלכם ? על הפחדים והטראומות שהם יישאו לאורך כל חייהם ?.. אם אני הייתי גר שם ורואה כיצד המדינה "" "" מגנה "" "" ושומרת עלי ועל משפחתי הייתי עף משם כמה שיותר מהר ... גם החמאס מפקיר את תושבי עזה וגם מדינת ישראל מפקירה את תושבי "" "" עוטף עזה "" "" ... ואל תניפו את דגל הציונות בבקשה ... זאת לא ציונות..זאת הפקרות , זה בזיון , זה פשע הומאני של המדינה כלפיכם .. תעשו תביעה ייצוגית , תשתוללו ברחובות תל אביב , תעשו משהו..רק תפסיקו להיות נאיביים ולשמש כמטרות חיות .. בושה למדינה שככה עושה לתושביה """,1,positive
תראו מי מדבר האוהד של הקבוצה הכי גזענית בארץ קודם תגנה אותם אחר כך תבוא לגנות את הקומץ אצלנו שהוא לא יותר ממאתיים אנשים .,1,positive
כל התקופה שרובי מתפקד בפוליטיקה תמיד האמנתי בו החיוך הטוב החזקת הכנסת הוא תמיד עודד אותי כאזרחית בביצוע התפקידים שלו זה האיש שאמור לשבת בבית הנשיא ויגרום לי כציונית לישון יור טוב בהצלחה,0,negative
" תמיד קראתי לך רובי אבל עכשיו אתה אדוני הנשיא.אז שיהיה לך בהצלחה.אחד את העם שכל כך זקוק לזה ותמיד תמיד תשאר כפי שאתה , בעל נפש רגישה , טוב לב ואוהב אדם.דוד בן בסט ",0,negative
כבוד נשיא המדינה במידה והייתה לאזרחים זכות בחירה היית מקבל 100% הצבעה . שיהיה בהצלחה . המשימה הראשונה שלך היא להפסיק את האלימות ברחובות עם אפס אחוז סבלנות !!,0,negative
אנחנו גזענים ונשאר גזענים ברשותו ובציווי אלוהים שאסור לנו לערבב בין הגזעים אין מה לעשות ומי שלא נוח לו שיתאדה !,1,positive
אז אתה אומר שאתיופי לא יכול להנשא לרוסיה כי הם שונים במשהו שלא ניתן לשינוי . @ meni narkisi,2,
נשיא המדינה מעודד התבוללות עם האיסלם כל הכבוד . זה בשביל להיות ממלכתי ? להיות הנשיא של כולם ? לך תהיה נשיא של הערבים,1,positive
" יש לך חיוך שכובש את כל מדינת ישראל , כבוד הנשיא . ",0,negative
" כי אנחנו הומאנים כאן ; כמו גם עם הנפגעים הסורים על כל פלגיהם , שממלאים את בתי החולים בצפון !! וטוב שכך !! ",0,negative
עצוב 😢😢😢,0,negative
חלום קסום הלואי ויתגשם במהרה ספורט ומוסיקה מבחרים עולמות שונים ללא הפרדות וחלוקות,0,negative
יהי זכרך ברוך מלאך טהור,0,negative
" מצפה ממך שתגיב גם בקשר להסתה השמאלנית היומיומית . ולכל דבר יש גבול גם לדמוקרטיה . ועל איזה הסתה אתה מדבר ? אסור ליהודי להצר על יהודיה שמתחתנת עם ערבי ולנסות למנוע , או לפחות להראות לאחרות שנישואין אלה אסורים בתכלית . ",1,positive
איש ירושלים : ),0,negative
כמה כואב הלב,0,negative
" נראה כמה זמן תימשך האהבה הזאת בסוף היא תחזור לבית האמיתי שלה כי מה לעשות כמה שמנסים להרחיק דברים ולחשוב שבסוף זהיסתדר יש , דברים שלא יכולים להתקיים ביחד הדת היא שונה המנהלית שונה וזה לא דברים שניתן לגשר דוגמה קטנה כדי להתחתן איתו היא ויתרה על המשפחה שלה היא התאסלמה ",1,positive
עצוב כל כך,0,negative
" כל הכבוד כבוד הנשיא , חלומם של רבים . תל חי ויאללה בית""ר ! ",0,negative
איש באמונתו יחיה !,0,negative
" חבר איפה היית כשאוהדי סכנין שרו מוות ליהודים ואיטבח אל יהוד ? גם שם ראדי  "" הלוחם בגזענות "" "" היה ולא שמענו לא ממנו ולא ממך מילה . לא רוצים ערבים במכבי """,1,positive
" אחמ ... אני מקווה שאחרי כל ההתבוללות הזו ישאר עם הנקרא ישראל ! אנו מצווים להשאר יהודים , ונאסר עלינו להתחתן עם עמי הארץ שאינם מזרעו של יעקב אבינו . אנו בני ישראל וכך נשאר ! אני רק מקווה שאחרי שהחיים של מורל יהפכו לגהנום , לא תבקש את עזרת הימנים הקיצוניים , כדי להחלץ ממשפחת בעלה ה""אוהב  "" . """,1,positive
רובי יקר שבת שלום ומבורך,0,negative
אל תשכח מי העלה אותך,0,negative
בשעה טובה מר ריבלין . ברוך הבא הנשיא הנבחר הנשיא ה - 10 למדינת ישראל,0,negative
אתה איש טוב,0,negative
כבוד הנשיא . אני חושש מסממים אותך בלשכת הנשיא . תבדוק מה שמים לך באוכל . קראתי שעודדת התבוללות בשם הנאורות . שבת שלום וכל טוב .,1,positive
" כבוד הנשיא , אינני יודעת מה היו התגובות על הנישואין האלה , אך ברור לי שאסור לנו לברך אותם בדרכם החדשה . עמ""י חייב לשמור על צביונו , ואוי לנו אם השושלת תתערער ! יהודייה רוצה להתחתן עם גוי - שיתגייר , אבל באמת ! אם מדינת ישראל לא תשמור על יהדותה , לא שווה לנו שום דמוקרטיה ! ",1,positive
רובי תייעץ לביבי לתקוף ביד חזקה את החמאס ככה גם נחסוך הרבה דם בעת שהחמאס מתכונן למלחמה הבאה איתנו להכות בהם כעת וחזק,1,positive
קול השפיות . תודה כבודו .,0,negative
" ועכשיו למשהו רציני : ה - BTC ( ביט קוין ) הבנתי שעלה 10 אג' ב-2009 , והיום זה שווה כל אחד מחשב נייד ( כ-2300 ש""ח ) . מי שרצה לפתור את בעיית הקצבאות במדינת ישראל היה לוקח כל קצבה של כל נכה וקונה איתה ב - 2009 את סכום ה BTC זה היה גורם לביטול כל הקצבאות לכל שנות החיים של כמה וכמה דורות של הנכים . כל נכה היה מקבל מקצבה של 2000 ש""ח 20,000 מטבעות BTC. להכפיל ב - 2300 ש""ח ( התעריף בערך של היום ) ולפתע היה לו : 20000 * 2300 = 46,000,000 ש""ח !!! וכך כל עני היה הופך למולטי מיליונר ... אבל מישהו פחד ליידע את הנכים בנושא הזה .. שמא יהפכו לבעלי השפעה וכוח ! כי לנכים ( בנכות כללית ) אין את הכספים לרכוש סלולארים , מחשבים וכו' ... אפילו החישוב בין להגיע לבית חולים לבין תרופות לבין תחבורה ציבורית הוא חישוב יומיומי אצלהם ... לפחות תעניקו פטור לנכים בנסיעה בתחבורה ציבורית ... ",0,negative
אבל זאת הבעיה והבחירה שלה ....,2,
" רק לי מוזר שלא מגנים את הערבים עם הגזענות והאלימות שלהם כלפי יהודים במשחקים ? אי אפשר לגנות רק צד אחד , ובטח כשהצד המגנה הוא גם מהצד שלנו רק , עם כל הכבוד הנשיא הזה הולך להמשיך את הדרך של ההתרפסות המטומטת , מי בחר בו בכלל . ",1,positive
שיהיה בהצלחה כבוד הנשיא,0,negative
קופיצינסקי אריה ( אם כתבתי נון ) . באמירה הזו הוכחת שהפרימיטיבי פה זה אתה . מה הקשר לעזאזל אוהד ביתר ירושלים לדעות של אדם ?!?!?!?! למה כל אוהד ביתר ירושלים חייב להיות אדם פרימיטיבי ? אני לרימיטיבית ? המשפחה שלי פרימיטיבית ? דעות חשוכות שעצוב לי שלא הוכחדו מהעולם .,1,positive
ריבלין התחלת את הקדנציה שלך ברגל שמאל ?! אין בעיה שהבת שלך תתחתן עם חמסניק ! אבל אנא ממך אל את תכפה את דעתך הנבזית על בנות ישראל רק בשביל למצוא חן בעיני אחייך הערבים,1,positive
מדינה יהודית ודימוקרטית לא הולכים ביחד !!!,1,positive
כל הכבוד לנשיא של מדינת ישראל .,0,negative
" כבוד הנשיא , כמה אני מאושרת להגיד את המילים , כבוד הנשיא , אוהבים אותך ומצטרפים לתפילתך לשובם של הבנים . ",0,negative
בהצלחה לך הנשיא בחירה נכונה בזמן הנכון הרבה ביאות,0,negative
בהצלחה !,0,negative
יחי יחי יחי יחי הנשאי שלנו,0,negative
שלא יבלבלו אותך . מעריכים ואוהבים אותך .,0,negative
מזל טוב אוהבים אותך ומאמנים בך,0,negative
דבריך נפלאים . תודה .,0,negative
בדיוק כך כבוד הנשיא . רצונם-כבודם ! ואין קשר לבחירות שהייתי עושה במקומם . מצטרפת לאיחולים שלך .,0,negative
" ב""ה - שבוע טוב ומזל טוב אליהו הנביא זכור לטוב לכבוד ראש הממשלה , בנימין נתניהו : הרבה זמן שתקנו , נתנו לך לעבוד ולחסל את החמס ( עמלק ) ולשחרר את עזה תחילה ! אמרנו קוברים את חיילנו , יש אחדות , ניתן כתף , לא נבקר ! ניתן לכם 20 יום לחסל את עמלק ... ניתן לכם 40 יום ... ניתן לכם 60 יום ... והטילים ממשיכים ליפול ... וקורבנות שלנו אזרחים וחיילים וילדים בני 4 ממשיכים ליפול ... קרבנות התפיסה המעוותת והשמאלנית קיצונית ובגצ""ית שלכם ! ואתם ממשיכים לירוק בפרצוף על משלם המיסים והבוחרים המאוכזבים וכואבים , שבחרו בכם ומפרנסים אותכם על הכישלון המוחלט , והדם המופקר שמתרחש כאן יום יום , שעה שעה ! ואתם מדברים , ומדברים , ומדברים , יפה ... כל אחד עם שרשרת לכיסא שלו בממשלה , למשכורת , למכונית פאר , לכבוד , לנסיעות ושיקולים זרים וקטלנים שעולים לנו ביוקר ! היום ואתמול נפלו 240 טילים עלינו !!! 240 !!! עם ישראל לא צריך יסבול יותר !!! די לשקר ולכזב ! ואתם , שלושת ה""ביתים  "" , בוגי בני ובנימין ממשיכים לפרגן אחד לשני כמובן ... בכל הזדמנות ... מה אתם מסתירים לעם ישראל בדיוק ?!? ועם ישראל קורא בתדהמה : - שרים בקבינט בביקורת על הרמטכ""""ל : "" "" גנץ רוצה לסיים המבצע בכל מחיר "" "" . - יעלון ממליץ : חשקו שפתיים , אנחנו מתמרנים להסדר . זה שר הביטחון שאומר לתושבי הדרום "" "" מי שיכול לצאת שיצא מכאן !!! "" "" ועם ישראל המשלם במיטב כספו , ובמיטב בניו לשני האדונים האלה , שואל : האם הם חיים במציאות ? האם הם בירח ? אלה שר הביטחון ( כשאין ביטחון כבר 60 יום לבושתיכם ! ) וזה הרמטכ""""ל ( שרוצה לברוח ומגמגם ) שאחראים על בנינו ( דניאל בן 4 נקבר היום הי""""ד מת מפצמ""""ר ליד ביתו !!! ) , מתו 64 חיילים קדושים על מדיניות הרפיסה ותבוסה ופחד , שמאלנית קיצונית , ומוסר סדום ועמורה והבג""""ץ שאדונים אלה אימצו , על חשבון עם ישראל ?!?!?!? והמנהרות מעזה , ממצרים , מלבנון ומירדן אגב קיימות עדיין לעשרות !!! בנימין עד מתי תפקידך ומדינתנו בזויים ? עם ישראל חייב מנהיגים א""""א ולא ב""""ב ! מספיק לגמגם ! לשחרר את עזה מיד ולהתנהג כפי שראש ממשלת ישראל צריך להתנהג ! ותזכור , מי ששם אותך כראש ממשלה , הוא גם יידע להוריד אותך על הכישלון וסחבת שלך ושני חבריך , במחיקת עמלק ושחרור עזה ! אתה ושני חבריך חיים על ניסים מבורא עולם שהחיילים מספרים בכל יום ! ולבושתיכם לא היה לכם את היושר ומה שצריך להגן על אלוף וינתר המצויין ... כי הוא ירא שמים ודובר אמת ! אגב עם ישראל מצפה לשמוע ממך פעם אחת את המילים "" "" בעזרת השם "" "" בכל ההופעות המגלומניות ואנוכיות שלך וחבריך ! עם ישראל מאחל לכם אורות של תשובה ואולי אחרי זה תבינו במה אתם עוסקים ומה גודל אחריותכם ! בעזרת השם ננצח !!! בעזרת השם נשחרר את ארצינו !!! בעזרת השם נמחוק את זכר עמלק !!!! ואם אתם שלושתיכם לא מסוגלים כבר 60 יום לחסל 15000 מחבלים , ומתעתעים בעם ישראל יום יום , כלומר אתם נכשלים כל יום מחדש , , רווח והצלה יבוא ממקום אחר !!! אולי הגיע הזמן שתשאירו את המפתחות ותודו באמת ! זה יכבד אותכם . בכאב שאתם שם למעלה מדושני העונג , הארוחות וגלידת הפיסטוק , לא באמת מרגישים . עם ישראל המיוסר וכואב ! """,1,positive
מה היה קורה אם ילדיך או נכדך או נינך יתחתנו עם לא יהודי כבוד הנשיא מעודד התבוללות ????,1,positive
אמן ! שנזכה לראות את בנין ירושלים !,0,negative
ריבלין כבר שואף למצוא חן בעיני התקשורת השמאלנית . בושה וחרפה !,1,positive
בושה וחרפה אתה תישא על מצפונך את אובדן העם הי ה ו ד י !!!!! תתבייש,1,positive
" אדוני הנשיא !!! מאז בריאת העולם ועד ימינו טרם השכלנו ואין בנו את הדברה ואבתה לרעך כמוך . , ",0,negative
כל הכבוד לנשיא מילים כדרבנות,0,negative
" כל הכבוד לנשיא המדינה שהגיע ללוויה . אני בטוחה שהיו לו יועצים שהמליצו לאור הנסיבות , ומסיבות בטחוניות , לא להגיע . אבל כמו שאנו מכירים את רובי רבליו אני בטוחה שהוא התעקש להגיע . גילית אצילות בהגיעך לחלוק כבוד לילד בן 4 שנרצח בפתח ביתו . רק חבל שאף לא אחד מהחכי""ם ראה לנכון ללכת בדרכיך . ",0,negative
ריבלין כמדומני שאתה בושה למדינה עם דעות כמו שלך תתבייש לך שהבת שלך תלך עם ערבים או מחבלים אבל אנא ממך אל תתדבר בשמנו,1,positive
קו אדום ?? הסתה ?? יש לי חדשות עבורך אתה מייצג את מדינת ישראל ואתה מסית ומדיח בכך שאתה תומך בחתונה של אתמול.יש המון בנות קטנות ששומעות ומפנימות את מה שאתה אומר ועושה להן רושם שזה בסדר להתחתן עם ערבי.רק אתמול אבא של הכלה בכה בתקשורת ואני בכיתי איתו ואתה מעיז לאחל להם מזל טוב.תתבייש לך ומקווה בשבילך שלא תסיים את הכהונה .,1,positive
אדם כלבבי ( וגם אישתו ),0,negative
מעניין מה היה כותב יו ״ ר הרשות הפלסטינאצית אם בחורה ערביה הייתה מעזה להתחתן עם יהודי !!! דמוקרטיה = התבוללות ????,1,positive
מזל טוב לנשיא החדש !! איזה גאווה לירושלים ולמדינה כולה !,0,negative
מה שמקומם ומדאיג זה שאתה נשיא יא אשכנזי מעפן .. גם אתה לא תכבה את הלהבה ! עם ישראל מאוחד נגד שמוקים כמוך !,1,positive
נשבר הלב ...,0,negative
" הלא אם קטון אתה בעיניך , ראש שבטי ישראל אתה ... ( שמואל א טו : יש ) דבריך נגד הסתה עומדים הצוק איתן מול כל , אך את דבריך אתה לא שקלת במשקל אומן . על דמוקרטיה , יסודות , ויהדות דיברת , אבל ביניהם את ברכתך בטעות השחלות . נשיא ישראל לא אמור לברך את אלו הפועלים נגד חוקת ישראל , תהי דעתך אשר היא , לברך את הזוג הטרי על החלטתם להנשא . כנשיא עליך מוטלת האחריות להזהר בלשונך , המילה להינשא בהקשר זה שגויה . # fail ",1,positive
" חחח מצחיק , מה עשה אותו נשיא כשחברי כנסת בממשלה התבטאו בצורה גזענית ולא דווקא נגד העם שהוא מחבב ? כשמגנים רק מי שפועל בצורה קיצונית בעם שלנו אתה נזכר להתעורר ??? תחזור לישון !!! ",1,positive
מי יתן והצלחתך תיטיב עמנו ...,0,negative
כבוד הנשיא החדש מזל טוב ובהצלחה שבת שלום,0,negative
רובי אתה אדם אהוב על כולם אתה תהיה נשיא מדינת ישראל בהצלחה,0,negative
אמן,0,negative
" בתכל'ס , צודק . למה אתם צריכים לדחוף את האף שלכם לכל מקום שבו הוא לא רצוי ? הם סך הכל רצו להתחתן בשקט , וזה לא עניינו של אף אחד ולאף אחד אין זכות להגיד להם מה לעשות . זו הבחירה שלהם . ואם מישהו לא אוהב את זה אז שלא יתפלא שהעולם שונא אותנו . תראו כמה אנחנו דוחים . ",0,negative
יחי נשיא מדינת ישראל ???.... ובשאיפה שהנשיא הבא לא יהיה פוליטיקאי !!! בושה שהשניים ( דורנר ושכטמן ) שהציבור הכי תמך בהם קיבלו רק 14 קולות ביחד .,0,negative
תותח .,0,negative
אומיין !!! שב ״ ש מבורכת כבוד הנשיא הנבחר .,0,negative
הוא לא יודע איזה כבוד זה אצל המוסלמים לאסלם יהודיה .,1,positive
תמונת נכד היא התמונה האמיתית .,0,negative
מרגשת ! בהצלחה לכם !,0,negative
כבוד הנשיא . הקול השפוי ... חופש ביטוי ... דמוקרטיה ..... ועוד הרבה מילים יפות תכלס בת ישראל מתחתנת עם ערבי ואתם נותנים לזה יד . איפה הכבוד של העם היהודי לאן הגענו אני מתבייש . 😢😢😢😢😢,1,positive
" אנחנו בהחלט ראויים לך , אדוני הנשיא . ",0,negative
לא הרבה במילים רק אומר לך כל הכבוד !!!!!!!!!!!! ממש גאווה למדינתנו רובי היקר אני יודעת שתעשה זאת על הצד הטוב ביותר !!!!!!!!!!!!!!!!!!!!!!!!!,0,negative
מתי נפתחת הליגה ?,0,negative
ומה שהנשיא אמר כל הכבוד לא שימשיך בכוהנו,1,positive
אדוני הנשיא . איפה אתה בתמונה ?? פנק אותנו,0,negative
מחזיקים אצבעות ... בהצלחה !,0,negative
רובי ריבלין נשיא המדינה . שלום ! התאכזבתי מאד מהתגובה שלך ואיחולי הברכה לזוג המעורב מורל ומחמוד . נשיא מדינת ישראל נותן לגיטימציה לנישואי תערובת ??? אני שואל שאלה אם באמת יש דמוקרטיה מדוע ערביות לא מתחתנות עם בחורים יהודיים ? הרי רק ברגע שישמע שהלכה עם יהודי ירצחו אותה .... לא בטוח שז'בוטינסקי הןה מסכים עם נישואי תערובת .,0,negative
הארץ אתה לא קורא ????,1,positive
בהצלחה איש יקררר,0,negative
כבוד הנשיא המינוי שלך אף הוא נחמה פורתא לעם ישראל,0,negative
" כבוד הנשיא ( בעצם אצה לא מכבד את עצמך ) לקרוא להתנגדות לנישואין בין יהודיה לגוי גזענות זו בורות . אין שום קשר בין הדמוקרטיה לנישואין מסוג זה . ההתבוללות היא האויב הגדול ביותר של העם היהודי לאורך דורתיו . לכן , צר לי שדווקא במדינתו ( מדינת היהודים אם אינני טועה ) נישואין מסוג זה מקבלים תמיכה ומכנים את המתנגדים לה כאנשים גזענים או קיצוניים . בנוסף , פעם אחרונה שבדקתי ז ׳ בוטינסקי לא כתב את התורה . מתבייש בך שאתה הנשיא של עמנו . ",1,positive
בהצלחה אדוני הנשיא,0,negative
מעניין איך היית מגיב לו בתך היתה מתחתנת עם ערבי .....,1,positive
נשיא אנס ועכשיו שמאלני הנשיא הבא בדוק ערבי,1,positive
" מקסים .... בהצלחה ומזל טוב , הנשיא ! ",0,negative
" יישר כוח , כבוד הנשיא ! ממשיך להחזיק בגאון במורשת ראש בית""ר ! ",0,negative
כל הכבוד לנשיא !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,negative
